Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Curtailed
10-02 09:00,24.884,850.5369999999999,850.5369999999999,False
10-02 10:00,4.78532,850.537,850.537,False
10-02 11:00,0.0,850.537,850.537,False
10-02 12:00,6.65557,850.537,850.537,False
10-02 13:00,5.52172,850.5370000000001,850.5370000000001,False
10-02 14:00,23.086299999999998,850.537,850.537,False
10-02 15:00,0.0,850.537,850.537,False
10-02 16:00,0.0,850.537,850.537,False
10-02 17:00,25.6896,850.537,850.537,False
10-02 18:00,206.977,850.537,850.537,False
10-02 19:00,350.001,850.537,850.537,False
10-02 20:00,158.079,850.537,850.537,False
10-02 21:00,55.857099999999996,850.5370000000001,850.5370000000001,False
10-02 22:00,13.5944,850.537,850.537,False
10-02 23:00,6.06919,850.537,850.537,False
10-03 00:00,35.8606,850.537,850.537,False
10-03 01:00,21.751,850.537,850.537,False
10-03 02:00,21.825,850.537,850.537,False
10-03 03:00,60.915699999999994,850.537,850.537,False
10-03 04:00,45.191199999999995,850.537,850.537,False
10-03 05:00,53.514199999999995,850.537,850.537,False
10-03 06:00,0.0,850.537,850.537,False
10-03 07:00,0.0,850.537,850.537,False
10-03 08:00,0.0,850.5369999999999,850.5369999999999,False
10-03 09:00,0.0,850.5369999999999,850.5369999999999,False
10-03 10:00,0.0,850.537,850.537,False
10-03 11:00,9.816559999999999,850.537,850.537,False
10-03 12:00,13.3514,850.5370000000001,850.5370000000001,False
10-03 13:00,24.674599999999998,850.537,850.537,False
10-03 14:00,46.064,850.537,850.537,False
10-03 15:00,73.1599,850.537,850.537,False
10-03 16:00,118.238,850.537,850.537,False
10-03 17:00,248.237,850.537,850.537,False
10-03 18:00,182.506,850.537,850.537,False
10-03 19:00,593.03,842.5931108461508,842.5931108461508,False
10-03 20:00,721.713,841.0015678892735,841.0015678892735,False
10-03 21:00,607.85,839.2429992743896,839.2429992743896,False
10-03 22:00,477.181,831.6550715148486,831.6550715148486,False
10-03 23:00,331.002,781.9143592717428,781.9143592717428,False
10-04 00:00,340.301,814.5372831312924,814.5372831312924,False
10-04 01:00,360.059,850.537,850.537,False
10-04 02:00,281.877,812.6004472653898,812.6004472653898,False
10-04 03:00,138.609,813.9694844052535,813.9694844052535,False
10-04 04:00,168.002,850.537,850.537,False
10-04 05:00,223.154,850.5369999999999,850.5369999999999,False
10-04 06:00,175.249,850.5370000000001,850.5370000000001,False
10-04 07:00,197.594,850.537,850.537,False
10-04 08:00,126.402,850.537,850.537,False
10-04 09:00,167.615,850.537,850.537,False
10-04 10:00,219.63,850.537,850.537,False
10-04 11:00,281.798,0.0,0.0,False
10-04 12:00,407.817,850.537,850.537,False
10-04 13:00,393.168,850.537,850.537,False
10-04 14:00,438.853,850.537,850.537,False
10-04 15:00,301.042,850.537,850.537,False
10-04 16:00,440.783,850.537,850.537,False
10-04 17:00,785.314,850.537,850.537,False
10-04 18:00,830.692,850.537,850.537,False
10-04 19:00,830.692,0.0,0.0,False
10-04 20:00,830.692,850.537,850.537,False
10-04 21:00,830.692,850.537,850.537,False
10-04 22:00,830.692,850.537,850.537,False
10-04 23:00,830.692,850.5369999999999,850.5369999999999,False
10-05 00:00,830.692,850.537,850.537,False
10-05 01:00,830.692,850.537,850.537,False
10-05 02:00,830.692,850.537,850.537,False
10-05 03:00,830.692,850.537,850.537,False
10-05 04:00,830.692,850.537,850.537,False
10-05 05:00,830.692,850.537,850.537,False
10-05 06:00,830.692,850.537,850.537,False
10-05 07:00,830.692,850.537,850.537,False
10-05 08:00,830.692,850.537,850.537,False
10-05 09:00,830.692,850.537,850.537,False
10-05 10:00,602.177,850.537,850.537,False
10-05 11:00,456.293,850.537,850.537,False
10-05 12:00,215.324,850.537,850.537,False
10-05 13:00,325.126,850.537,850.537,False
10-05 14:00,150.457,850.537,850.537,False
10-05 15:00,250.722,850.537,850.537,False
10-05 16:00,246.869,850.537,850.537,False
10-05 17:00,438.167,850.537,850.537,False
10-05 18:00,753.393,713.9390918066725,713.9390918066725,False
10-05 19:00,777.542,850.537,850.537,False
10-05 20:00,827.578,850.537,850.537,False
10-05 21:00,660.568,850.537,850.537,False
10-05 22:00,709.85,850.537,850.537,False
10-05 23:00,540.103,850.5370000000001,850.5370000000001,False
10-06 00:00,418.699,850.537,850.537,False
10-06 01:00,337.757,850.537,850.537,False
10-06 02:00,245.711,850.537,850.537,False
10-06 03:00,202.161,850.537,850.537,False
10-06 04:00,189.152,850.537,850.537,False
10-06 05:00,117.094,850.537,850.537,False
10-06 06:00,127.812,850.537,850.537,False
10-06 07:00,110.869,850.537,850.537,False
10-06 08:00,140.311,850.537,850.537,False
10-06 09:00,116.538,850.537,850.537,False
10-06 10:00,129.256,850.537,850.537,False
10-06 11:00,133.591,850.537,850.537,False
10-06 12:00,297.207,850.537,850.537,False
10-06 13:00,315.675,850.537,850.537,False
10-06 14:00,354.033,850.537,850.537,False
10-06 15:00,231.939,850.537,850.537,False
10-06 16:00,534.624,850.537,850.537,False
10-06 17:00,410.972,850.537,850.537,False
10-06 18:00,432.713,850.537,850.537,False
10-06 19:00,448.549,850.537,850.537,False
10-06 20:00,581.834,849.0457279459871,849.0457279459871,False
10-06 21:00,699.429,850.537,850.537,False
10-06 22:00,666.486,850.537,850.537,False
10-06 23:00,520.423,850.537,850.537,False
10-07 00:00,552.11,850.537,850.537,False
10-07 01:00,582.291,850.537,850.537,False
10-07 02:00,421.048,850.537,850.537,False
10-07 03:00,434.462,850.537,850.537,False
10-07 04:00,764.215,850.537,850.537,False
10-07 05:00,830.692,850.537,850.537,False
10-07 06:00,830.692,850.537,850.537,False
10-07 07:00,830.692,771.6959613920809,771.6959613920809,False
10-07 08:00,830.692,850.537,850.537,False
10-07 09:00,830.692,850.537,850.537,False
10-07 10:00,830.692,850.537,850.537,False
10-07 11:00,830.692,850.5369999999999,850.5369999999999,False
10-07 12:00,830.692,850.537,850.537,False
10-07 13:00,830.692,850.537,850.537,False
10-07 14:00,830.692,850.537,850.537,False
10-07 15:00,830.692,850.537,850.537,False
10-07 16:00,830.692,850.537,850.537,False
10-07 17:00,830.692,732.374260964491,732.374260964491,False
10-07 18:00,830.692,705.7465407156992,705.7465407156992,False
10-07 19:00,830.692,718.1564035966921,718.1564035966921,False
10-07 20:00,830.692,850.537,850.537,False
10-07 21:00,830.692,803.1384130791682,803.1384130791682,False
10-07 22:00,830.692,786.9568976648723,786.9568976648723,False
10-07 23:00,830.692,850.537,850.537,False
10-08 00:00,830.692,774.340166888582,774.340166888582,False
10-08 01:00,794.782,771.247855906279,771.247855906279,False
10-08 02:00,456.253,850.537,850.537,False
10-08 03:00,449.29,768.6176936121691,768.6176936121691,False
10-08 04:00,778.958,778.2665502026816,778.2665502026816,False
10-08 05:00,830.692,795.7448788472099,795.7448788472099,False
10-08 06:00,830.692,850.5370000000001,850.5370000000001,False
10-08 07:00,830.692,850.537,850.537,False
10-08 08:00,830.692,818.6150645652716,818.6150645652716,False
10-08 09:00,830.692,828.9640771004468,828.9640771004468,False
10-08 10:00,830.692,831.975633401162,831.975633401162,False
10-08 11:00,830.692,850.537,850.537,False
10-08 12:00,830.692,850.5369999999999,850.5369999999999,False
10-08 13:00,830.692,850.537,850.537,False
10-08 14:00,830.692,850.5369999999999,850.5369999999999,False
10-08 15:00,830.692,850.537,850.537,False
10-08 16:00,756.819,850.537,850.537,False
10-08 17:00,367.606,0.0,0.0,False
10-08 18:00,489.28,850.537,850.537,False
10-08 19:00,830.692,812.2351488886321,812.2351488886321,False
10-08 20:00,830.692,785.0836864319697,785.0836864319697,False
10-08 21:00,830.692,803.9292494078484,803.9292494078484,False
10-08 22:00,830.692,804.1993721076988,804.1993721076988,False
10-08 23:00,830.692,801.2687369816417,801.2687369816417,False
10-09 00:00,830.692,793.617742628452,793.617742628452,False
10-09 01:00,830.692,808.8735575538767,808.8735575538767,False
10-09 02:00,830.692,850.537,850.537,False
10-09 03:00,830.692,850.537,850.537,False
10-09 04:00,830.692,850.537,850.537,False
10-09 05:00,830.692,850.5370000000001,850.5370000000001,False
10-09 06:00,830.692,821.6911068417959,821.6911068417959,False
