Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Avoided Emissions (lbs CO2),Curtailed
01-08 02:00,830.692,712.2402630533485,712.2402630533485,591652.2885963122,False
01-08 03:00,830.692,712.4204279488395,712.4204279488395,591801.9501336773,False
01-08 04:00,830.692,721.7742692830925,721.7742692830925,599572.1112993107,False
01-08 05:00,830.692,736.1505326231692,736.1505326231692,611514.3582458056,False
01-08 06:00,830.692,752.7323462485494,752.7323462485494,625288.7381699,False
01-08 07:00,830.692,764.045342725813,764.045342725813,634686.3538395911,False
01-08 08:00,830.692,765.3729702884675,765.3729702884675,635789.2034348677,False
01-08 09:00,830.692,760.4688582796392,760.4688582796392,631715.3968220301,False
01-08 10:00,830.692,758.077469169258,758.077469169258,629728.8890191494,False
01-08 11:00,830.692,758.4849194554414,758.4849194554414,630067.3547122795,False
01-08 12:00,830.692,759.98769768999,759.98769768999,631315.7005694932,False
01-08 13:00,830.692,755.8987644053364,755.8987644053364,627919.0564013977,False
01-08 14:00,830.692,762.6655418090759,762.6655418090759,633540.1642564648,False
01-08 15:00,830.692,765.3022823773615,765.3022823773615,635730.4835526152,False
01-08 16:00,830.692,770.9815594325845,770.9815594325845,640448.2135681725,False
01-08 17:00,830.692,712.6971247471521,712.6971247471521,592031.7999504613,False
01-08 18:00,830.692,719.204080882353,719.204080882353,597437.0763563236,False
01-08 19:00,828.0,748.6913047957044,748.6913047957044,619916.4003708432,False
01-08 20:00,830.692,743.1910274863787,743.1910274863787,617362.841004715,False
01-08 21:00,830.692,739.6368450048806,739.6368450048806,614410.4100507942,False
01-08 22:00,830.692,850.537,850.537,706534.281604,False
01-08 23:00,830.692,850.537,850.537,706534.281604,False
01-09 00:00,830.692,850.537,850.537,706534.281604,False
01-09 01:00,830.692,850.537,850.537,706534.281604,False
01-09 02:00,830.669,850.537,850.537,706514.719253,False
01-09 03:00,749.277,850.537,850.537,637287.8117490001,False
01-09 04:00,615.197,850.537,850.537,523247.810789,False
01-09 05:00,472.046,850.537,850.537,401492.58870200004,False
01-09 06:00,153.334,850.537,850.537,130416.24035800001,False
01-09 07:00,299.751,850.5370000000001,850.5370000000001,254949.31628700002,False
01-09 08:00,778.684,850.5369999999999,850.5369999999999,662299.5533079999,False
01-09 09:00,830.399,850.537,850.537,706285.074263,False
01-09 10:00,830.692,850.5369999999999,850.5369999999999,706534.2816039999,False
01-09 11:00,433.284,850.537,850.537,368524.073508,False
01-09 12:00,397.084,850.5370000000001,850.5370000000001,337734.6341080001,False
01-09 13:00,195.992,850.5370000000001,850.5370000000001,166698.44770400002,False
01-09 14:00,203.332,850.537,850.537,172941.389284,False
01-09 15:00,147.002,850.537,850.537,125030.64007400001,False
01-09 16:00,104.273,850.537,850.537,88688.044601,False
01-09 17:00,36.9161,850.537,850.537,31398.508945700003,False
01-09 18:00,277.546,850.537,850.537,236063.14220200002,False
01-09 19:00,529.618,850.537,850.537,450459.70486600004,False
01-09 20:00,339.65,850.537,850.537,288884.89204999997,False
01-09 21:00,228.515,850.537,850.537,194360.462555,False
01-09 22:00,133.525,740.9573189503816,740.9573189503816,98936.3260128497,False
01-09 23:00,362.895,722.6852392112368,722.6852392112368,262258.85988356173,False
01-10 00:00,534.438,850.537,850.537,454559.293206,False
01-10 01:00,830.692,850.537,850.537,706534.281604,False
01-10 02:00,830.692,850.537,850.537,706534.281604,False
01-10 03:00,830.692,658.2494061262648,658.2494061262648,546802.5156738391,False
01-10 04:00,830.692,673.2878566255577,673.2878566255577,559294.8361959978,False
01-10 05:00,830.692,577.1594012748599,577.1594012748599,479441.6973638159,False
01-10 06:00,830.692,850.537,850.537,706534.281604,False
01-10 07:00,830.692,850.537,850.537,706534.281604,False
01-10 08:00,830.692,850.537,850.537,706534.281604,False
01-10 09:00,830.692,850.537,850.537,706534.281604,False
01-10 10:00,806.968,850.537,850.537,686356.141816,False
01-10 11:00,439.783,0.0,0.0,0.0,False
01-10 12:00,204.911,850.537,850.537,174284.38720700002,False
01-10 13:00,228.403,850.537,850.537,194265.202411,False
01-10 14:00,363.263,850.537,850.537,308968.622231,False
01-10 15:00,596.285,850.537,850.537,507162.455045,False
01-10 16:00,827.571,850.537,850.537,703879.755627,False
01-10 17:00,827.943,850.537,850.537,704196.155391,False
01-10 18:00,695.725,850.537,850.537,591739.8543250001,False
01-10 19:00,552.538,850.537,850.537,469954.012906,False
01-10 20:00,366.381,850.537,850.537,311620.59659699997,False
01-10 21:00,483.582,850.537,850.537,411304.383534,False
01-10 22:00,414.459,850.537,850.537,352512.714483,False
01-10 23:00,260.261,850.537,850.537,221361.61015700002,False
01-11 00:00,336.563,850.537,850.537,286259.284331,False
01-11 01:00,435.969,850.537,850.537,370807.765353,False
01-11 02:00,310.753,850.537,850.537,264306.924361,False
01-11 03:00,252.182,850.537,850.537,214490.121734,False
01-11 04:00,213.09,850.537,850.537,181240.92933,False
01-11 05:00,364.604,850.537,850.537,310109.192348,False
01-11 06:00,469.612,850.537,850.537,399422.381644,False
01-11 07:00,454.283,850.537,850.537,386384.499971,False
01-11 08:00,687.492,850.537,850.537,584737.383204,False
01-11 09:00,830.692,0.0,0.0,0.0,False
01-11 10:00,830.692,850.537,850.537,706534.281604,False
01-11 11:00,830.692,0.0,0.0,0.0,False
01-11 12:00,830.692,850.537,850.537,706534.281604,False
01-11 13:00,830.692,850.537,850.537,706534.281604,False
01-11 14:00,830.692,850.537,850.537,706534.281604,False
01-11 15:00,830.692,850.537,850.537,706534.281604,False
01-11 16:00,830.692,0.0,0.0,0.0,False
01-11 17:00,830.692,850.537,850.537,706534.281604,False
01-11 18:00,830.692,0.0,0.0,0.0,False
01-11 19:00,830.692,850.537,850.537,706534.281604,False
01-11 20:00,830.692,0.0,0.0,0.0,False
01-11 21:00,830.692,850.537,850.537,706534.281604,False
01-11 22:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-11 23:00,830.692,850.537,850.537,706534.281604,False
01-12 00:00,830.692,850.537,850.537,706534.281604,False
01-12 01:00,830.692,850.537,850.537,706534.281604,False
